case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
3042287,OH,Cooper Farms Amendment,2012.0,1,1.5,-84.566795,40.910892
3042290,KS,Buffalo Dunes,2013.0,135,249.75,-101.001389,37.654694
3042423,ME,Bull Hill,2012.0,19,34.2,-68.171402,44.72699
3042424,NY,Zotos,2011.0,2,3.3,-76.968399,42.887093
3042427,MI,Brookfield Wind Park,2014.0,44,74.8,-83.264893,43.751694
3042429,MI,Pheasant Run I,2013.0,44,74.8,-83.225594,43.767990000000005
3042447,MN,Community Wind North,2011.0,12,30.0,-96.429291,44.265491
3042500,NE,Crofton Bluffs,2012.0,20,36.0,-97.550206,42.695756
3042507,MA,Equity Industrial Partners,2012.0,2,4.0,-70.65720400000001,42.62669
3042519,IL,Minonk,2012.0,100,200.0,-88.89409599999999,40.837193
3042546,MN,Community Wind South,2012.0,15,30.75,-95.78609499999999,43.708092
3042601,WV,Beech Ridge,2010.0,67,100.5,-80.506096,38.050391999999995
3042789,KS,Fort Hays State University,2013.0,2,4.0,-99.403389,38.875893
3042790,IA,Wiota Wind,2012.0,1,1.6,-94.876793,41.391495
3042791,IA,Forward Fontanelle,2012.0,1,1.6,-94.57069399999999,41.339591999999996
3042792,IA,Greenfield Wind,2012.0,1,1.6,-94.488495,41.290493
3042793,IA,Sky Volt,2012.0,1,1.68,-94.485191,41.290690999999995
3042806,MA,Camelot Wind Project,2012.0,1,1.5,-70.644302,41.925491
3042906,IL,Grand Ridge II,2009.0,34,51.0,-88.691597,41.188590999999995
3043001,IL,Heartland Community College,2012.0,1,1.65,-89.01879100000001,40.536694
3043030,WI,Galactic Wind,2012.0,6,9.9,-89.57169300000001,43.172592
3043038,OH,Erie Industrial Park,2014.0,1,0.9,-83.035461,41.545433
3043040,NE,Prairie Breeze,2014.0,118,200.6,-98.210594,41.950294
3043058,MA,Applied Materials,2012.0,1,2.5,-70.649399,42.628192999999996
3043105,MA,Ipswich II,2012.0,1,2.0,-70.846397,42.717293
3043226,MI,Tuscola II,2013.0,59,100.3,-83.57693499999999,43.577965
3043258,IA,Meadow Ridge,2012.0,1,1.6,-94.44628900000001,41.390095
3043266,MI,Gratiot,2011.0,64,102.4,-84.513397,43.411091
3043327,NJ,Bayonne Wind Energy Project,2012.0,1,1.5,-74.117699,40.652794
3043492,CA,North Sky River,2012.0,100,162.0,-118.186485,35.347794
3043519,CO,Colorado Highlands,2012.0,42,67.2,-102.762192,40.730892
3043634,CA,Shiloh IV,2012.0,45,92.25,-121.860184,38.129795
3043719,TX,Blue Summit,2012.0,23,36.8,-99.363396,34.307594
