,Year,Cents per KwH,CPI Value,Real Price,State
17,2001,5.97,177.1,5.97,MN
0,2018,9.32,250.5,6.59,MS
1,2017,9.09,245.1,6.57,MS
2,2016,8.67,240.0,6.4,MS
3,2015,9.53,237.0,7.12,MS
4,2014,9.6,236.7,7.18,MS
5,2013,9.11,233.0,6.92,MS
6,2012,8.6,229.6,6.63,MS
7,2011,8.78,224.9,6.91,MS
8,2010,8.59,218.1,6.98,MS
9,2009,8.85,214.5,7.31,MS
10,2008,8.99,215.3,7.39,MS
11,2007,8.03,207.3,6.86,MS
12,2006,8.33,201.6,7.32,MS
13,2005,7.54,195.3,6.84,MS
14,2004,7.0,188.9,6.56,MS
15,2003,6.46,184.0,6.22,MS
16,2002,6.24,179.9,6.14,MS
17,2001,6.26,177.1,6.26,MS
0,2018,9.76,250.5,6.9,MO
1,2017,10.03,245.1,7.25,MO
2,2016,9.74,240.0,7.19,MO
3,2015,9.44,237.0,7.05,MO
4,2014,9.11,236.7,6.82,MO
5,2013,9.04,233.0,6.87,MO
6,2012,8.53,229.6,6.58,MO
7,2011,8.32,224.9,6.55,MO
8,2010,7.78,218.1,6.32,MO
9,2009,7.35,214.5,6.07,MO
10,2008,6.84,215.3,5.63,MO
11,2007,6.56,207.3,5.6,MO
12,2006,6.3,201.6,5.53,MO
13,2005,6.13,195.3,5.56,MO
14,2004,6.07,188.9,5.69,MO
15,2003,6.02,184.0,5.79,MO
16,2002,6.09,179.9,6.0,MO
17,2001,6.03,177.1,6.03,MO
0,2018,9.0,250.5,6.36,MT
1,2017,8.92,245.1,6.45,MT
2,2016,8.84,240.0,6.52,MT
3,2015,8.9,237.0,6.65,MT
4,2014,8.59,236.7,6.43,MT
5,2013,8.58,233.0,6.52,MT
6,2012,8.25,229.6,6.36,MT
7,2011,8.23,224.9,6.48,MT
8,2010,7.84,218.1,6.37,MT
9,2009,7.58,214.5,6.26,MT
10,2008,7.72,215.3,6.35,MT
11,2007,7.13,207.3,6.09,MT
12,2006,6.91,201.6,6.07,MT
13,2005,6.72,195.3,6.09,MT
14,2004,6.4,188.9,6.0,MT
15,2003,6.14,184.0,5.91,MT
16,2002,5.7,179.9,5.61,MT
17,2001,6.48,177.1,6.48,MT
0,2018,9.09,250.5,6.43,NE
1,2017,9.08,245.1,6.56,NE
2,2016,9.05,240.0,6.68,NE
3,2015,8.91,237.0,6.66,NE
4,2014,8.84,236.7,6.61,NE
5,2013,8.74,233.0,6.64,NE
6,2012,8.37,229.6,6.46,NE
7,2011,7.88,224.9,6.21,NE
8,2010,7.52,218.1,6.11,NE
9,2009,7.21,214.5,5.95,NE
10,2008,6.58,215.3,5.41,NE
11,2007,6.28,207.3,5.37,NE
12,2006,6.07,201.6,5.33,NE
13,2005,5.87,195.3,5.32,NE
14,2004,5.7,188.9,5.34,NE
15,2003,5.64,184.0,5.43,NE
16,2002,5.55,179.9,5.46,NE
17,2001,5.39,177.1,5.39,NE
0,2018,8.71,250.5,6.16,NV
1,2017,8.76,245.1,6.33,NV
2,2016,8.38,240.0,6.18,NV
3,2015,9.48,237.0,7.08,NV
4,2014,9.73,236.7,7.28,NV
5,2013,9.03,233.0,6.86,NV
6,2012,8.95,229.6,6.9,NV
7,2011,8.97,224.9,7.06,NV
8,2010,9.73,218.1,7.9,NV
9,2009,10.36,214.5,8.55,NV
10,2008,9.89,215.3,8.14,NV
11,2007,9.99,207.3,8.53,NV
12,2006,9.63,201.6,8.46,NV
13,2005,9.02,195.3,8.18,NV
14,2004,8.56,188.9,8.03,NV
15,2003,8.29,184.0,7.98,NV
16,2002,8.42,179.9,8.29,NV
17,2001,7.86,177.1,7.86,NV
0,2018,16.93,250.5,11.97,NH
1,2017,16.17,245.1,11.68,NH
2,2016,15.66,240.0,11.56,NH
3,2015,16.02,237.0,11.97,NH
4,2014,15.22,236.7,11.39,NH
5,2013,14.3,233.0,10.87,NH
6,2012,14.19,229.6,10.95,NH
7,2011,14.74,224.9,11.61,NH
8,2010,14.84,218.1,12.05,NH
9,2009,15.09,214.5,12.46,NH
10,2008,14.63,215.3,12.03,NH
11,2007,13.98,207.3,11.94,NH
12,2006,13.84,201.6,12.16,NH
13,2005,12.53,195.3,11.36,NH
14,2004,11.37,188.9,10.66,NH
15,2003,10.83,184.0,10.42,NH
16,2002,10.6,179.9,10.44,NH
17,2001,10.95,177.1,10.95,NH
0,2018,13.28,250.5,9.39,NJ
1,2017,13.32,245.1,9.62,NJ
2,2016,13.38,240.0,9.87,NJ
3,2015,13.74,237.0,10.27,NJ
4,2014,13.95,236.7,10.44,NJ
5,2013,13.69,233.0,10.41,NJ
6,2012,13.68,229.6,10.55,NJ
7,2011,14.3,224.9,11.26,NJ
8,2010,14.68,218.1,11.92,NJ
9,2009,14.53,214.5,12.0,NJ
10,2008,14.43,215.3,11.87,NJ
11,2007,13.01,207.3,11.11,NJ
12,2006,11.88,201.6,10.44,NJ
13,2005,10.89,195.3,9.88,NJ
14,2004,10.29,188.9,9.65,NJ
15,2003,9.48,184.0,9.12,NJ
16,2002,9.3,179.9,9.16,NJ
17,2001,9.36,177.1,9.36,NJ
0,2018,9.43,250.5,6.67,NM
1,2017,9.59,245.1,6.93,NM
2,2016,9.12,240.0,6.73,NM
3,2015,9.62,237.0,7.19,NM
4,2014,9.65,236.7,7.22,NM
5,2013,9.25,233.0,7.03,NM
6,2012,8.83,229.6,6.81,NM
7,2011,8.74,224.9,6.88,NM
8,2010,8.4,218.1,6.82,NM
9,2009,8.09,214.5,6.68,NM
10,2008,8.35,215.3,6.87,NM
11,2007,7.44,207.3,6.36,NM
12,2006,7.37,201.6,6.47,NM
13,2005,7.51,195.3,6.81,NM
14,2004,7.1,188.9,6.66,NM
15,2003,7.0,184.0,6.74,NM
16,2002,6.73,179.9,6.63,NM
17,2001,7.16,177.1,7.16,NM
0,2018,14.88,250.5,10.52,NY
1,2017,14.74,245.1,10.65,NY
2,2016,14.47,240.0,10.68,NY
3,2015,15.28,237.0,11.42,NY
4,2014,16.25,236.7,12.16,NY
5,2013,15.44,233.0,11.74,NY
6,2012,15.15,229.6,11.69,NY
7,2011,15.89,224.9,12.51,NY
8,2010,16.41,218.1,13.33,NY
9,2009,15.44,214.5,12.75,NY
10,2008,16.47,215.3,13.55,NY
11,2007,15.22,207.3,13.0,NY
12,2006,15.27,201.6,13.41,NY
13,2005,13.95,195.3,12.65,NY
14,2004,12.55,188.9,11.77,NY
15,2003,12.44,184.0,11.97,NY
16,2002,11.16,179.9,10.99,NY
17,2001,11.55,177.1,11.55,NY
0,2018,9.36,250.5,6.62,NC
1,2017,9.04,245.1,6.53,NC
2,2016,9.2,240.0,6.79,NC
3,2015,9.37,237.0,7.0,NC
4,2014,9.33,236.7,6.98,NC
5,2013,9.24,233.0,7.02,NC
6,2012,9.15,229.6,7.06,NC
7,2011,8.64,224.9,6.8,NC
8,2010,8.67,218.1,7.04,NC
9,2009,8.48,214.5,7.0,NC
10,2008,7.96,215.3,6.55,NC
11,2007,7.83,207.3,6.69,NC
12,2006,7.53,201.6,6.61,NC
13,2005,7.19,195.3,6.52,NC
14,2004,6.97,188.9,6.53,NC
15,2003,6.86,184.0,6.6,NC
16,2002,6.74,179.9,6.64,NC
17,2001,6.58,177.1,6.58,NC
0,2018,9.14,250.5,6.46,ND
1,2017,8.78,245.1,6.34,ND
2,2016,8.94,240.0,6.6,ND
3,2015,8.75,237.0,6.54,ND
4,2014,8.41,236.7,6.29,ND
5,2013,8.2,233.0,6.23,ND
6,2012,7.83,229.6,6.04,ND
7,2011,7.5,224.9,5.91,ND
8,2010,7.11,218.1,5.77,ND
9,2009,6.63,214.5,5.47,ND
10,2008,6.69,215.3,5.5,ND
11,2007,6.42,207.3,5.48,ND
12,2006,6.21,201.6,5.46,ND
13,2005,5.92,195.3,5.37,ND
14,2004,5.69,188.9,5.33,ND
15,2003,5.47,184.0,5.26,ND
16,2002,5.45,179.9,5.37,ND
17,2001,5.48,177.1,5.48,ND
0,2018,9.78,250.5,6.91,OH
1,2017,9.84,245.1,7.11,OH
2,2016,9.84,240.0,7.26,OH
3,2015,9.98,237.0,7.46,OH
4,2014,9.73,236.7,7.28,OH
5,2013,9.2,233.0,6.99,OH
6,2012,9.12,229.6,7.03,OH
7,2011,9.03,224.9,7.11,OH
8,2010,9.14,218.1,7.42,OH
9,2009,9.02,214.5,7.45,OH
10,2008,8.39,215.3,6.9,OH
11,2007,7.91,207.3,6.76,OH
12,2006,7.71,201.6,6.77,OH
13,2005,7.08,195.3,6.42,OH
14,2004,6.89,188.9,6.46,OH
15,2003,6.73,184.0,6.48,OH
16,2002,6.77,179.9,6.66,OH
17,2001,6.62,177.1,6.62,OH
0,2018,7.99,250.5,5.65,OK
1,2017,8.2,245.1,5.93,OK
2,2016,7.83,240.0,5.78,OK
3,2015,7.9,237.0,5.9,OK
4,2014,8.18,236.7,6.12,OK
5,2013,7.86,233.0,5.97,OK
6,2012,7.54,229.6,5.82,OK
7,2011,7.8,224.9,6.14,OK
8,2010,7.59,218.1,6.16,OK
9,2009,6.94,214.5,5.73,OK
10,2008,7.81,215.3,6.42,OK
11,2007,7.29,207.3,6.23,OK
12,2006,7.3,201.6,6.41,OK
13,2005,6.85,195.3,6.21,OK
14,2004,6.5,188.9,6.09,OK
15,2003,6.35,184.0,6.11,OK
16,2002,5.59,179.9,5.5,OK
17,2001,6.1,177.1,6.1,OK
0,2018,9.05,250.5,6.4,OR
1,2017,8.81,245.1,6.37,OR
2,2016,8.83,240.0,6.52,OR
3,2015,8.75,237.0,6.54,OR
4,2014,8.68,236.7,6.49,OR
5,2013,8.44,233.0,6.42,OR
6,2012,8.21,229.6,6.33,OR
7,2011,8.04,224.9,6.33,OR
8,2010,7.56,218.1,6.14,OR
9,2009,7.47,214.5,6.17,OR
10,2008,7.24,215.3,5.96,OR
11,2007,7.02,207.3,6.0,OR
12,2006,6.53,201.6,5.74,OR
13,2005,6.34,195.3,5.75,OR
14,2004,6.21,188.9,5.82,OR
15,2003,6.18,184.0,5.95,OR
16,2002,6.32,179.9,6.22,OR
17,2001,5.44,177.1,5.44,OR
0,2018,10.11,250.5,7.15,PA
1,2017,10.13,245.1,7.32,PA
2,2016,10.19,240.0,7.52,PA
3,2015,10.31,237.0,7.7,PA
4,2014,10.28,236.7,7.69,PA
5,2013,9.81,233.0,7.46,PA
6,2012,9.91,229.6,7.64,PA
7,2011,10.45,224.9,8.23,PA
8,2010,10.31,218.1,8.37,PA
9,2009,9.6,214.5,7.93,PA
10,2008,9.33,215.3,7.67,PA
11,2007,9.08,207.3,7.76,PA
12,2006,8.68,201.6,7.63,PA
13,2005,8.27,195.3,7.5,PA
14,2004,8.0,188.9,7.5,PA
15,2003,8.02,184.0,7.72,PA
16,2002,8.06,179.9,7.93,PA
17,2001,8.01,177.1,8.01,PA
0,2018,18.05,250.5,12.76,RI
1,2017,16.42,245.1,11.86,RI
2,2016,16.28,240.0,12.01,RI
3,2015,17.01,237.0,12.71,RI
4,2014,15.41,236.7,11.53,RI
5,2013,13.72,233.0,10.43,RI
6,2012,12.74,229.6,9.83,RI
7,2011,13.04,224.9,10.27,RI
8,2010,14.07,218.1,11.43,RI
