,case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
1719,3004457,NH,Mountain View Grand,2009.0,1,0.1,-71.59030200000001,44.398792
1913,3004958,IA,Storm Lake II,1999.0,106,79.5,-95.353989,42.841694
1938,3005032,TX,White Tail,2012.0,57,91.2,-99.011894,27.481995
1991,3005174,VT,Dynapower 1,1997.0,1,0.05,-73.151596,44.44249
2026,3005271,IA,Sentral Community School,1995.0,1,0.065,-94.388575,43.210556
2105,3005468,OH,Wynford Local Schools,2011.0,2,0.2,-83.019592,40.822792
2136,3005548,MA,Princeton Municipal Light and Water Plant,2009.0,2,3.0,-71.899597,42.47699
2226,3005789,WI,Evansville WWTP,2010.0,1,0.1,-89.27999100000001,42.777592
2280,3005919,IA,Tjaden Farms,2006.0,1,0.45,-92.62359599999999,43.156490000000005
2323,3006042,NY,Harbec Plastics,2002.0,2,1.1,-77.36174,43.226089
2344,3006092,MN,Cisco,2008.0,4,8.4,-95.356895,43.625893
2375,3006179,CO,Peetz Table Wind Farm,2001.0,33,29.7,-103.16499300000001,40.944794
2419,3006311,OH,University of Toledo Wind Turbine,2009.0,1,0.08,-83.595192,41.643692
2436,3006356,CA,Karen Avenue Windfarm,2004.0,12,11.7,-116.55528999999999,33.921993
2490,3006474,AZ,Fort Huachuca,2011.0,1,1.0,-110.31748999999999,31.505396
2524,3006576,IN,Goodland I,2008.0,87,130.5,-87.428696,40.673190999999996
2541,3006613,NE,Steele Flats,2013.0,44,74.8,-96.939545,40.039421000000004
2552,3006631,TX,Barton Chapel,2009.0,60,120.0,-98.302994,33.081093
2584,3006732,MA,Nature's Classroom Wind Turbine,2009.0,1,0.1,-72.003899,42.110889
2717,3007082,AK,Kotzebue Wind Project Phases II & III,1999.0,7,0.35,-162.55737299999998,66.83850100000001
2747,3007163,CA,East Winds,1985.0,7,4.165,-116.54789,33.889793
2764,3007209,IN,Time Factory Wind,2008.0,1,0.05,-86.236496,39.871094
2854,3007426,CA,Diablo Winds,2004.0,31,20.46,-121.614883,37.763393
2881,3007499,CA,Oak Creek Energy Systems,1999.0,16,7.669,-118.36688999999998,35.042095
2893,3007531,MA,Hyannis Country Garden,2008.0,1,0.1,-70.310799,41.651291
3020,3007867,OH,Case Western University,2012.0,3,1.225,-81.496895,41.602092999999996
3039,3007921,MA,Mount St. Mary's Abbey,2009.0,1,0.1,-71.3937,42.042491999999996
3167,3008198,TX,Cirrus 1,2012.0,17,61.2,-101.67259200000001,33.032993
3186,3008244,MA,Woods Hole Research Center,2009.0,1,0.1,-70.643204,41.548992
3339,3008626,TX,Inadale (Roscoe IV),2009.0,197,197.0,-100.62339,32.529293
3373,3008710,MA,City of Medford,2009.0,1,0.1,-71.099098,42.408993
3388,3008741,OH,Great Lakes Science Center,2006.0,1,0.225,-81.696793,41.506691
3395,3008749,TX,Senate,2012.0,75,150.0,-98.343689,33.180492
3469,3008917,VT,Heritage Flight,2009.0,1,0.1,-73.145996,44.463093
3513,3009031,MA,IBEW local 103,2005.0,1,0.1,-71.0541,42.304691
3539,3009078,VT,Bolton Valley Resort,2009.0,1,0.1,-72.834724,44.414455
3648,3009351,IN,The City of Union City,2010.0,1,1.0,-84.817192,40.190692999999996
3861,3009909,CA,Lake Palmdale,2004.0,1,0.95,-118.11828600000001,34.555896999999995
3873,3009949,IA,Story County Medical Center,1995.0,1,0.225,-93.450839,42.007544
3931,3010084,IA,Iowa State Fair Wind Project,2007.0,1,0.66,-93.548897,41.595093
3971,3010186,TX,Big Spring II,1999.0,4,6.6,-101.39999399999999,32.213795000000005
3974,3010198,MA,Falmouth II,2012.0,1,1.65,-70.621498,41.609291
3975,3010200,WY,Evanston (Wyoming Wind Energy Center),2003.0,80,144.0,-110.72658500000001,41.382095
4005,3010264,WI,Byron,1999.0,2,1.32,-88.439194,43.658091999999996
4047,3010392,MA,Cape Cod Regional Transit Authority,2010.0,1,0.1,-70.144402,41.690090000000005
4051,3010400,MN,Nobles,2010.0,134,201.0,-95.76859300000001,43.728592
4131,3010617,NY,Maple Ridge (Lowville),2005.0,83,136.95,-75.610001,43.82999
4170,3010715,CO,Aurora Wal-Mart,2005.0,1,0.05,-104.773087,39.760796
4240,3010879,MN,Moraine II,2009.0,33,49.5,-96.102692,44.135292
4405,3011309,CO,Cedar Creek,2007.0,221,221.0,-104.062889,40.863594
4461,3011440,MI,Traverse City,1996.0,1,0.6,-85.69019300000001,44.776993
4462,3011451,OR,Vansycle I,1998.0,38,25.08,-118.660947,45.936946999999996
4477,3011470,IA,Cerro Gordo/Hawkeye Power/Clear Lake,1999.0,55,41.25,-93.46729300000001,43.094494
4491,3011487,IA,Akron-Westfield School District,1999.0,1,0.6,-96.541191,42.829890999999996
4503,3011499,IA,Waverly,1999.0,2,1.5,-95.264893,42.687691
4527,3011545,MN,Moorhead,1999.0,1,0.75,-96.73479499999999,46.895092
4555,3011608,MN,Chandler Hills Wind Farm,1998.0,3,1.98,-95.950089,43.917190999999995
4558,3011614,MN,Lakota Ridge,1999.0,15,11.25,-96.44899000000001,44.382591
4559,3011615,MN,Shaokatan Hills,1999.0,18,11.88,-96.43219,44.394894
4630,3011740,NY,Wethersfield,2000.0,10,6.6,-78.243698,42.678791
4640,3011751,MN,North Shaokatan Wind Farm,2000.0,18,11.88,-96.443893,44.424892
4654,3011766,MN,Ruthton Wind Farm,2001.0,24,15.84,-96.23819,44.235893
4678,3011790,MN,Agassiz Beach,2001.0,3,1.98,-96.43549300000001,47.005192
4680,3011792,MN,"Metro Wind, LLC",2001.0,1,0.66,-93.560692,45.378792
4681,3011795,WY,Foote Creek 4,2000.0,28,16.8,-106.18508100000001,41.673096
4686,3012176,IA,Top of Iowa,2001.0,89,80.1,-93.430595,43.395493
4752,3012247,KS,Gray County Wind Farm Montezuma),2001.0,170,112.2,-100.39449300000001,37.648895
4917,3012430,PA,Somerset,2001.0,6,9.0,-79.010201,39.985394
